id,persona,llama3.1:8b
1,base,2.46 (± 1.11)
2,base,2.18 (± 1.37)
3,base,3.57 (± 1.27)
4,base,2.75 (± 1.57)
5,base,3.48 (± 1.56)
6,base,4.36 (± 0.74)
7,base,2.39 (± 1.70)
8,base,3.76 (± 0.96)
9,base,2.16 (± 0.55)
10,base,3.94 (± 0.80)
11,base,3.17 (± 1.21)
12,base,3.93 (± 0.94)
13,base,4.01 (± 0.95)
14,base,3.90 (± 1.01)
15,base,3.86 (± 1.37)
16,base,3.63 (± 1.40)
17,base,2.33 (± 1.51)
18,base,2.87 (± 1.31)
19,base,3.18 (± 0.74)
20,base,1.86 (± 1.42)
21,base,3.90 (± 1.15)
22,base,3.33 (± 1.48)
23,base,2.60 (± 1.81)
24,base,3.39 (± 0.85)
25,base,3.28 (± 1.31)
26,base,4.43 (± 0.77)
27,base,3.03 (± 1.58)
28,base,3.65 (± 0.94)
29,base,3.88 (± 1.14)
30,base,3.51 (± 1.29)
31,base,4.79 (± 0.54)
32,base,3.92 (± 1.22)
